# ra,    dec,  Vmag,   B-V;  This data is extracted from SKY2000 Master Catalog, Version 4 <Goddard Space Flight Center, Flight Dynamics Division (2002)>
ra	dec	vmag	bv
0.2691	-48.8099	5.71	0.910
0.3338	-50.3374	5.54	1.586
0.3988	-77.0657	4.79	1.263
0.4042	61.2228	5.58	0.404
0.4560	-3.0275	5.13	-0.126
0.4901	-6.0141	4.40	1.579
0.5423	27.0823	5.80	0.690
0.5830	-29.7204	5.04	-0.139
0.6238	8.4855	5.70	0.311
0.6504	66.0990	5.84	1.071
0.9350	-17.3360	4.55	-0.043
1.0569	62.2877	5.87	0.300
1.0588	-34.8062	5.87	0.300
1.1255	-10.5095	4.94	1.627
1.1721	-71.4369	5.59	-0.102
1.1749	67.1664	5.69	1.048
1.4248	13.3963	5.55	0.893
1.5799	-49.0752	5.71	0.515
1.6106	64.1962	5.57	-0.028
1.9454	-22.5086	5.94	0.132
2.0145	-33.5293	5.66	1.114
2.0731	-8.8241	5.99	1.029
2.0969	29.0904	2.06	-0.043
2.2601	18.2120	5.56	1.045
2.2945	59.1498	2.28	0.376
2.3527	-45.7474	3.88	1.019
2.5092	11.1458	5.54	-0.067
2.5786	-5.2486	5.85	0.978
2.5802	46.0723	5.03	0.406
2.6785	-12.5799	5.87	0.996
2.8161	-15.4680	4.90	0.486
2.8934	-27.7997	5.41	1.346
2.9334	-35.1331	5.24	0.446
3.0416	-17.9383	5.27	1.474
3.3090	15.1836	2.83	-0.230
3.3318	-84.9940	5.79	1.685
3.3785	41.0354	5.72	0.325
3.4260	-26.0223	5.95	1.529
3.6151	-7.7805	5.15	1.572
3.6507	20.2067	4.80	1.542
3.6601	-18.9329	4.46	1.630
3.7271	-9.5696	5.77	-0.071
4.0369	-31.4464	5.65	1.352
4.2377	61.5332	5.74	0.891
4.2729	38.6816	4.62	0.060
4.2877	47.9474	5.86	-0.082
4.5819	36.7852	4.51	0.072
4.8570	-8.8239	3.55	1.214
5.0178	-64.8748	4.23	0.576
5.1494	8.1903	5.38	1.353
5.1627	-69.6249	5.50	-0.042
5.1897	32.9112	5.81	1.599
5.2803	37.9686	5.16	0.441
5.3800	-28.9815	5.17	1.000
5.4428	-20.0580	5.72	1.551
6.0652	52.0199	5.59	-0.112
6.1979	61.8311	5.39	0.001
6.2767	53.0468	5.73	-0.059
6.3509	1.9397	5.77	0.845
6.4378	-77.2542	2.82	0.618
6.5508	-43.6798	3.95	0.181
6.5710	-42.3060	2.40	1.090
6.8113	-25.5472	5.98	1.020
6.9821	-33.0072	4.87	1.603
7.0121	17.8931	5.06	1.554
7.0569	44.3945	5.19	0.034
7.1105	-39.9150	5.42	1.538
7.5098	-3.9573	5.73	1.548
7.5307	29.7516	5.22	0.265
7.5944	-23.7877	5.17	0.124
7.8541	-48.8035	4.76	0.018
7.8568	33.5816	5.87	1.131
7.8895	-62.9656	4.51	0.142
7.9215	52.8395	5.60	1.161
8.0991	6.9555	5.67	-0.010
8.1479	20.2943	5.37	1.074
8.2500	62.9318	4.19	0.088
8.2933	54.8950	5.92	1.034
8.4210	-29.5583	5.55	1.256
8.6160	-52.3731	5.57	0.473
8.8120	-3.5928	5.20	0.560
8.8868	-0.5056	5.94	0.443
8.9216	-48.0009	5.52	0.448
9.1935	44.4886	5.15	1.593
9.1971	15.2317	5.88	-0.144
9.2202	33.7193	4.35	-0.117
9.2429	53.8969	3.68	-0.190
9.3363	-24.7673	5.60	0.717
9.3384	35.3995	5.43	0.883
9.6389	29.3118	4.35	0.860
9.7912	49.3546	5.44	1.655
9.8320	30.8610	3.27	1.282
9.9665	-44.7963	6.00	1.134
9.9815	21.4385	5.43	1.125
10.1268	56.5373	2.25	1.175
10.1766	-4.3518	5.90	1.077
10.2799	39.4587	5.31	0.883
10.3315	-46.0850	4.60	0.959
